bandwidth;quality;loss_rate;mos
2560;480p30;0;5
3072;480p30;0;5
3072;480p30;0;5
3584;480p30;0;5
3584;480p30;0;5
3584;480p30;0;5
4096;480p30;0;5
4096;480p30;0;5
4608;480p30;0;5
4608;480p30;3;5
4608;480p30;0;5
4608;480p30;0;5
3072;720p30;6;5
3072;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
3584;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4096;720p30;0;5
4608;720p30;9;5
4608;720p30;0;5
4608;720p30;0;5
4608;720p30;0;5
4608;720p30;0;5
4608;720p30;0;5
3584;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4096;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
4608;1080p30;0;5
